state,loancount,totaljobs,totalloanamount,avgloansize,jobsperloan,dollarsperjob,loancountnojobs,totalloansnojobs,avgloansizenojobs
CA,"617,236","6,178,761","$68,336,958,498.85","$110,714.47",12.4,"$9,532.10","119,809","$9,440,370,423.79","$78,795.16"
FL,"423,147","3,303,060","$31,929,570,014.71","$75,457.39",10.2,"$8,189.08","98,090","$4,880,546,143.10","$49,755.79"
TX,"411,598","4,340,525","$41,156,784,433.71","$99,992.67",12.4,"$8,664.97","60,656","$3,546,277,762.46","$58,465.40"
NY,"344,776","3,265,581","$38,565,280,890.09","$111,856.04",11.8,"$10,107.42","68,242","$5,558,682,150.23","$81,455.44"
IL,"220,927","2,217,285","$22,724,133,422.34","$102,858.10",11.2,"$9,441.74","23,103","$1,789,098,665.10","$77,440.10"
PA,"172,565","1,858,612","$20,705,063,063.87","$119,984.13",14.3,"$9,186.11","42,730","$3,631,641,246.13","$84,990.43"
GA,"169,555","1,493,822","$14,490,097,149.17","$85,459.56",11.1,"$8,380.85","35,197","$1,970,591,747.67","$55,987.49"
NJ,"155,859","1,527,821","$17,314,851,838.70","$111,093.05",12.7,"$9,790.40","35,784","$2,356,873,479.27","$65,863.89"
OH,"147,852","1,894,366","$18,476,762,668.72","$124,967.95",14.5,"$8,848.15","17,178","$1,715,133,807.33","$99,844.79"
NC,"127,915","1,262,514","$12,235,308,268.98","$95,651.86",12.9,"$7,959.01","29,910","$2,186,952,099.26","$73,117.75"
MI,"127,028","1,568,960","$15,995,428,949.35","$125,920.49",14.5,"$8,929.02","18,969","$1,986,146,242.14","$104,704.84"
MA,"117,776","1,177,975","$14,271,910,371.12","$121,178.42",12.5,"$10,042.20","23,612","$2,442,453,672.51","$103,441.20"
VA,"113,664","985,183","$12,554,156,491.09","$110,449.71",12.9,"$9,347.76","37,563","$3,344,902,782.43","$89,047.80"
CO,"108,501","885,927","$10,378,375,322.54","$95,652.34",11,"$9,457.50","27,939","$1,999,718,648.67","$71,574.45"
WA,"107,012","917,490","$12,440,626,706.86","$116,254.50",11.6,"$9,624.34","27,950","$3,610,395,389.79","$129,173.35"
MN,"102,015","1,102,491","$11,256,002,158.65","$110,336.73",12.4,"$9,269.92","13,360","$1,035,996,200.66","$77,544.62"
TN,"98,661","926,420","$8,952,841,846.23","$90,743.47",12.2,"$8,227.27","22,776","$1,330,934,042.71","$58,435.81"
MO,"95,219","945,927","$9,172,861,076.17","$96,334.35",11.1,"$8,436.72","10,335","$1,192,341,539.40","$115,369.28"
WI,"89,166","1,021,139","$9,891,788,875.92","$110,936.77",13.1,"$8,570.38","11,215","$1,140,234,556.51","$101,670.49"
MD,"86,056","950,460","$10,019,077,990.97","$116,425.09",13.5,"$9,282.28","15,634","$1,196,641,107.08","$76,540.94"
AZ,"85,076","887,497","$8,646,533,823.68","$101,633.05",12.9,"$8,478.34","16,216","$1,122,035,065.03","$69,193.08"
IN,"82,671","961,239","$9,535,506,510.50","$115,342.82",13.2,"$8,651.12","9,888","$1,219,716,262.87","$123,353.18"
LA,"78,010","811,809","$7,435,840,910.59","$95,319.07",12.2,"$8,428.88","11,452","$593,197,266.95","$51,798.57"
AL,"69,324","679,626","$6,201,123,770.38","$89,451.32",12.2,"$8,144.94","13,502","$665,607,752.28","$49,296.97"
SC,"66,254","669,059","$5,764,286,788.02","$87,002.84",12.3,"$7,600.72","11,773","$678,956,792.92","$57,670.66"
OR,"66,102","618,828","$7,052,398,837.08","$106,689.64",12,"$9,089.95","14,422","$1,427,283,419.53","$98,965.70"
OK,"66,044","624,341","$5,453,071,608.29","$82,567.25",10,"$8,322.81","3,676","$256,799,504.66","$69,858.40"
CT,"64,214","616,411","$6,703,474,060.29","$104,392.71",11.3,"$9,589.31","9,754","$792,517,397.41","$81,250.50"
IA,"61,258","529,144","$5,119,281,491.46","$83,569.19",9.8,"$8,365.41","7,005","$692,776,796.23","$98,897.47"
KS,"53,648","525,097","$5,028,360,549.54","$93,728.76",10.5,"$8,748.98","3,790","$434,297,338.95","$114,590.32"
UT,"52,125","600,186","$5,252,439,962.50","$100,766.23",12.5,"$8,354.19","3,994","$238,371,201.30","$59,682.32"
KY,"50,397","604,392","$5,273,223,873.86","$104,633.68",13.1,"$8,049.27","4,289","$408,312,037.74","$95,199.82"
MS,"48,008","419,948","$3,193,001,702.66","$66,509.78",9.8,"$7,062.92","4,975","$226,943,369.76","$45,616.75"
NV,"45,135","428,362","$4,192,702,034.77","$92,892.47",11.9,"$8,621.31","9,077","$499,662,516.70","$55,047.09"
NE,"43,993","331,823","$3,440,129,166.01","$78,197.19",9,"$8,266.93","7,257","$696,970,096.00","$96,041.07"
AR,"43,518","378,260","$3,310,732,424.06","$76,077.31",10.3,"$7,543.72","6,638","$457,244,035.13","$68,882.80"
PR,"39,491","386,084","$1,819,907,974.01","$46,084.11",10,"$4,621.25",970,"$35,716,682.38","$36,821.32"
ID,"30,989","272,600","$2,591,277,535.77","$83,619.26",12.1,"$7,539.66","8,470","$535,965,349.91","$63,278.08"
ME,"28,266","256,260","$2,264,234,856.28","$80,104.53",9.8,"$8,362.65","2,227","$121,220,926.72","$54,432.38"
HI,"25,009","226,101","$2,476,686,454.61","$99,031.80",11.9,"$8,924.48","5,955","$458,852,506.18","$77,053.31"
NH,"24,664","220,664","$2,560,220,802.59","$103,803.95",12.8,"$9,264.50","7,419","$515,880,206.25","$69,535.00"
MT,"23,867","217,046","$1,777,460,287.92","$74,473.55",9.8,"$7,807.94","1,628","$82,778,841.30","$50,846.95"
SD,"23,470","183,544","$1,678,035,539.66","$71,497.04",9.2,"$8,084.62","3,426","$194,152,142.72","$56,670.21"
NM,"22,870","251,346","$2,255,640,012.99","$98,628.77",12.9,"$7,789.13","3,461","$297,873,593.02","$86,065.75"
ND,"20,478","178,084","$1,772,494,503.88","$86,556.03",9.9,"$9,360.40","2,419","$105,557,760.06","$43,636.94"
WV,"18,031","206,881","$1,802,217,562.46","$99,951.05",12.8,"$8,007.87","1,856","$145,541,812.90","$78,416.92"
RI,"17,874","161,577","$1,904,198,295.89","$106,534.53",13,"$9,046.96","5,427","$442,417,768.12","$81,521.60"
WY,"13,550","111,633","$1,045,259,602.45","$77,140.93",8.9,"$8,864.32",942,"$55,708,625.97","$59,138.66"
DC,"13,339","168,366","$2,142,507,586.02","$160,619.80",16.1,"$11,125.27","2,862","$269,390,809.13","$94,126.76"
DE,"13,094","139,144","$1,506,284,363.24","$115,036.22",14.5,"$9,011.24","3,480","$252,424,822.01","$72,535.86"
VT,"12,362","116,841","$1,200,229,871.05","$97,090.26",11.7,"$8,975.29","2,345","$151,548,453.70","$64,626.20"
AK,"12,038","117,420","$1,309,266,744.30","$108,761.15",11.2,"$10,260.10","1,513","$104,419,595.68","$69,014.93"
GU,"2,201","32,124","$191,937,507.23","$87,204.68",15.5,"$5,226.18",134,"$24,051,689.93","$179,490.22"
VI,"2,039","17,130","$125,364,754.53","$61,483.44",8.8,"$7,239.54",84,"$1,351,496.58","$16,089.24"
MP,481,"7,488","$38,692,093.65","$80,440.94",18.4,"$4,041.40",74,"$8,430,094.00","$113,920.18"
AS,293,"4,302","$11,839,130.86","$40,406.58",14.8,"$2,729.36",3,"$97,432.00","$32,477.33"
AE,1,,"$27,400.00","$27,400.00",,,1,"$27,400.00","$27,400.00"
N/A,138,220,"$6,030,063.00","$43,696.10",5.8,"$9,411.41",100,"$3,959,553.00","$39,595.53"
